DepthBin,Date,Time,Latitude,Longitude,Year,gm2
40,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,23.9921741
50,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.314939159
60,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
70,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.663570807
80,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.15439305
90,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.578880857
100,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.305985576
110,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,2.03614728
120,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
130,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.724478966
140,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
150,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,4.402997593
160,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,3.167856026
170,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.575505659
180,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,3.607292641
190,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
200,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
210,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
220,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
230,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
240,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
10,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0.218971434
20,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,44.86781784
30,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,15.92925789
40,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,3.869906922
50,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0.288825891
60,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0.682403521
70,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0.562267922
80,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0.565694921
90,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,1.002883023
100,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0.749909909
110,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,1.92510448
120,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,2.249673475
130,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0
140,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,5.482387937
150,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,3.93180255
160,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0
170,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,1.956700623
180,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,10.27762522
190,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0
200,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0
210,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0
220,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,4.334538541
230,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,0
240,1/13/2009,09:19:10,-62.69987796,-62.13157098,2009,17.39730714
10,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,25.12308801
20,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,36.78538295
30,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0.214168859
40,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,17.88542754
50,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,13.3084478
60,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0.10511354
70,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0.348027836
80,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0.399153991
90,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0.32556132
100,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0.841354303
110,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0.601699866
120,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,2.151875292
130,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0.676535776
140,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0
150,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0
160,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0
170,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0
180,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0
190,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0
200,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0
210,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0
220,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0
230,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,12.05087169
240,1/13/2009,09:25:50,-62.6868926,-62.15511349,2009,0
10,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
20,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,14.22089656
30,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,6.669330543
40,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,1.618462885
50,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0.487446176
60,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,1.76246243
70,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0.739026312
80,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0.136287177
90,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0.304119504
100,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,2.494763033
110,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0.558311574
120,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0.668523121
130,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
140,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
150,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
160,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
170,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
180,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
190,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
200,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
210,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,3.994411663
220,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
230,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
240,1/13/2009,09:32:30,-62.67409626,-62.17787999,2009,0
10,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0
20,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0.228325265
30,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,4.938672677
40,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,1.155573095
50,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,26.71995894
60,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,2.84168199
70,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,6.059489732
80,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,1.886124585
90,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,18.32332832
100,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,3.291431575
110,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0.927494293
120,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0.653696531
130,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0
140,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,3.219881425
150,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0.548878017
160,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0
170,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0.864936981
180,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0
190,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0
200,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0
210,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,2.958087875
220,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0
230,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0
240,1/13/2009,09:39:10,-62.66133027,-62.20083572,2009,0
10,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0
20,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0
30,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0
40,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0.094955975
50,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0.431691062
60,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,5.540353522
70,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,2.354109143
80,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,2.292401701
90,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,9.829151655
100,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0.734337458
110,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0.276860936
120,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,0.486030536
130,1/13/2009,09:45:50,-62.64875378,-62.22406757,2009,1.915339069
