Longitude,Latitude,gm2,Year
-62.0342799,-62.74721292,63.44229246,2009
-62.06302678,-62.73596507,142.8949916,2009
-62.08355619,-62.72488174,77.38341101,2009
-62.10747673,-62.71241125,51.22687541,2009
-62.13157098,-62.69987796,116.2930784,2009
-62.15511349,-62.6868926,110.8167088,2009
-62.17787999,-62.67409626,33.65404098,2009
-62.20083572,-62.66133027,74.6175617,2009
-62.22406757,-62.64875378,61.15953112,2009
-62.24769929,-62.63623799,40.99871465,2009
-62.27108177,-62.62426102,67.14338687,2009
-62.29575113,-62.61186828,11.73758776,2009
-62.31973092,-62.59927268,32.09050762,2009
-62.3425876,-62.58638111,22.15287451,2009
-62.36510632,-62.57321053,12.31974749,2009
-62.38883085,-62.56020857,13.27330527,2009
-62.41412508,-62.5476649,40.97285391,2009
-62.43852542,-62.53413265,23.02040643,2009
-62.46543212,-62.51905062,70.02025307,2009
-62.48993362,-62.50567888,3.029734748,2009
-62.55039907,-62.47265027,44.56627182,2009
-62.57445134,-62.46048511,49.59405094,2009
-62.6017766,-62.44668123,68.33299645,2009
-62.62534808,-62.43537032,26.78259597,2009
-62.64982732,-62.4240531,189.6907634,2009
-62.67306892,-62.41208885,94.17414003,2009
-62.69514833,-62.40052654,78.5393888,2009
-62.72487668,-62.38592487,73.69690806,2009
-62.74923283,-62.37439287,32.04661953,2009
-62.77329894,-62.36240368,79.21478818,2009
-62.79687059,-62.35111448,148.9745901,2009
-62.82003745,-62.339783,65.13335529,2009
-62.84400888,-62.32781407,66.6262434,2009
-62.86809698,-62.31591958,22.55387232,2009
-62.8975976,-62.30075494,51.01056893,2009
-62.91965213,-62.28978168,9.148733996,2009
-62.94276093,-62.27886675,10.42008245,2009
-62.96918757,-62.26611938,115.6931864,2009
-62.99733925,-62.25167913,65.33569395,2009
-62.50004297,-61.97979248,28.44591621,2009
-62.50187805,-61.9665111,97.61776875,2009
-62.47228419,-61.97661824,153.8639999,2009
-62.44450101,-61.98982042,72.4887879,2009
-62.42386968,-61.99968555,42.79017343,2009
-62.39872723,-62.01403599,20.8452702,2009
-62.37405531,-62.02859305,11.59608683,2009
-62.35571485,-62.03958561,16.79969798,2009
-62.33171456,-62.05453446,12.6230066,2009
-62.31375246,-62.06572896,55.97916674,2009
-62.28860006,-62.08035456,21.65510768,2009
-62.27012044,-62.09123303,11.93078142,2009
-62.24602935,-62.1059224,13.45675376,2009
-62.22147869,-62.12025237,43.8982141,2009
-62.20354563,-62.13098699,29.46882339,2009
-62.18022463,-62.14530591,49.24365844,2009
-62.15695495,-62.1592454,57.23104184,2009
-62.13893678,-62.16986177,33.57667934,2009
-62.11421561,-62.18364806,79.14726682,2009
-62.08901812,-62.19738678,47.18535869,2009
-62.07063047,-62.2078059,39.78683362,2009
-62.05192332,-62.22318343,65.52970349,2009
-62.03404098,-62.2388521,67.1656219,2009
-62.01749278,-62.25330423,123.0285722,2009
-61.99759398,-62.25669333,57.5365778,2009
-62.00613604,-62.21841418,250.0363004,2009
-61.99139785,-62.21983698,37.22035694,2009
-61.96657713,-62.23389256,38.69729866,2009
-61.93998829,-62.24780181,22.31817828,2009
